face,voice,label
1.0935,4.9489,85
0.8815,3.5593,89
0.9753,3.9579,89
1.6608,4.1248,89
0.8314,3.7708,90
0.7427,3.7551,90
1.2959,4.6116,90
1.0244,3.7949,91
0.9472,4.7455,91
0.7586,5.6699,91
0.6687,4.3665,92
0.6657,3.7708,92
1.1149,4.3379,92
0.8322,4.716,99
0.5942,4.7988,99
1.1176,5.4867,99
2.3447,4.4106,101
1.7987,4.0857,101
1.5558,4.1786,101
1.2758,5.0526,102
0.851,4.1421,102
1.0298,3.7683,102
1.3612,4.7058,103
1.5346,4.1961,103
1.4359,4.8161,103
1.0529,5.2211,105
2.2033,5.8014,105
1.8476,5.5857,105
0.9613,5.9955,108
0.7375,6.1916,108
1.6124,7.1607,108
0.6907,4.175,110
0.3714,3.8205,110
0.9332,4.2085,110
1.5408,3.9509,112
0.8611,3.9731,112
0.4228,4.0731,112
1.0907,3.9876,113
1.358,3.7611,113
1.2355,3.346,113
1.0070000000000001,4.6985,115
1.0269,4.9855,115
1.3016,4.8461,115
1.1015,4.7818,116
0.5505,4.6531,116
0.7132,4.0857,116
0.6806,6.7724,121
0.8211,6.7267,121
1.2331,7.0963,121
0.8065,5.1682,122
1.1653,5.731,122
1.1491,5.4116,122
1.3072,4.5694,123
0.9526,4.6689,123
0.8398,5.5235,123
1.5571,3.8826,124
2.1669,6.138,124
2.6682,6.2364,124
0.8267,3.8701,125
1.1482,4.0738,125
1.5859999999999999,4.0158,125
0.8853,5.6763,126
1.117,5.9631,126
1.5087,5.4479999999999995,126
0.4783,3.9852,129
0.53,3.8895,129
0.6233,4.4088,129
0.9951,4.0116,132
0.848,3.728,132
1.5286,4.1711,132
0.8178,5.2565,133
0.7075,4.8605,133
1.1794,4.5358,133
1.5303,5.3589,135
1.6593,5.2204,135
1.2907,4.9032,135
0.2044,3.6039,136
0.1236,3.628,136
0.6109,3.4741,136
0.6239,5.2607,137
0.5102,5.3065,137
0.4734,5.4822,137
1.3044,4.6073,138
1.0736,4.7758,138
2.115,5.2826,138
1.2838,3.3325,140
0.9279999999999999,3.6855,140
1.1237,3.3385,140
1.4945,6.4507,141
2.2887,4.9644,141
1.7246,5.7671,141
0.4768,5.5922,145
0.5078,5.0732,145
0.3164,4.4621,145
1.3317,5.6902,146
1.1671,5.7955,146
0.9245,5.6994,146
0.8309,3.9673,148
-0.0245,3.9403,148
1.3711,4.1878,148
1.7117,3.8836,150
1.817,3.2037,150
1.6465,3.4939,150
1.5906,4.5337,152
0.7302,4.0269,152
0.9315,4.3366,152
0.6102,4.1419999999999995,154
0.8023,4.3569,154
0.9273,4.8799,154
1.1433,4.7353,159
0.6970000000000001,5.7673,159
0.6001,6.0401,159
1.3506,4.9533,163
1.1688,5.3443,163
1.2129,5.4793,163
1.4763,4.303999999999999,164
0.8421,4.8646,164
1.1532,4.4447,164
1.205,3.8757,165
0.5475,3.7464,165
0.4958,4.1176,165
0.9328,4.2092,166
1.268,5.2499,166
1.4162,5.2434,166
1.1218,3.7496,167
0.8203,3.3637,167
1.2667,3.6738,167
1.5381,10.033,168
1.1334,7.9096,168
1.4637,7.6391,168
0.9437,5.8536,169
0.9478,5.1235,169
0.968,6.39,169
0.8596,4.115,173
1.0014,4.7416,173
1.4792,5.5106,173
1.6474,5.4756,178
0.7041,5.3537,178
0.5269,4.037,178
0.8021,5.0219,179
0.7642,5.2222,179
0.982,4.9264,179
0.8317,4.2277,180
0.8409,3.7467,180
1.2819,3.8514,180
1.4282,4.0953,181
0.9453,3.6346,181
0.9601,3.5305,181
0.6769,3.9475,182
0.5773,3.5114,182
1.1320000000000001,4.3186,182
1.4722,4.9269,183
0.7944,4.2116,183
0.6152,4.6674,183
1.7845,4.3958,188
1.2542,4.1138,188
1.6749,4.8045,188
2.0563,5.0881,191
2.019,4.9111,191
1.5779,4.2271,191
0.759,4.6906,193
1.1606,4.9549,193
1.2975,4.3793,193
0.7788,4.794,196
1.2396,4.3215,196
0.9179999999999999,5.3288,196
0.4042,3.4408,197
0.4352,3.7773,197
0.7426,4.0689,197
0.2153,5.0963,198
1.0978,4.4467,198
1.0418,5.0941,198
1.3859,4.5355,206
0.9169,4.5695,206
0.9972,5.1566,206
0.9513,3.7124,207
0.7115,3.4984,207
0.8073,3.9078,207
1.0397,5.1555,208
1.2319,5.6429,208
1.3994,5.6958,208
1.5607,4.7657,209
0.9613,6.0211,209
1.6449,5.4463,209
0.4565,3.7084,210
1.2129,4.4888,210
1.4117,3.1465,210
1.0021,7.3728,211
0.9390000000000001,5.7407,211
0.7634,6.7138,211
0.6837,3.6117,213
0.6449,3.5599,213
0.597,4.5139,213
1.1853,5.3932,216
1.5986,5.9789,216
1.4771,5.8962,216
0.8945,3.8425,218
1.1975,3.5128,218
1.1113,4.2272,218
1.0554,5.4993,219
0.7806,5.2236,219
0.5468,4.4206,219
1.2684,4.2921,221
1.2773,4.8274,221
1.3897,4.2377,221
0.9902,4.496,222
0.2902,4.3255,222
1.5744,4.822,222
0.6619,5.0935,224
1.3028,4.9115,224
1.1665,5.1481,224
0.9618,4.1649,227
0.9941,4.4006,227
1.0159,4.6016,227
0.8133,4.6907,228
0.5772,5.0543,228
0.3119,4.9961,228
1.3372,3.6502,229
1.2011,3.7352,229
1.4715,4.414,229
-0.1319,4.8142,231
0.6277,4.7372,231
0.512,6.4786,231
1.7733,4.385,232
1.5519999999999998,4.8139,232
2.1714,4.8072,232
1.1958,4.8789,233
1.0532,6.0926,233
1.2417,4.8522,233
0.4515,4.1477,235
0.6501,4.8048,235
2.1497,3.8657,235
0.9921,5.5217,236
0.8581,4.187,236
1.055,5.3208,236
1.0462,4.2296,237
0.5308,4.5587,237
1.2276,6.5143,237
1.6006,7.1834,240
1.5551,6.004,240
1.4374,5.8624,240
0.8542,4.7951,243
1.1002,5.5074,243
1.2954,6.1092,243
0.879,5.5813,244
0.5632,6.1452,244
0.4914,6.2663,244
0.736,5.7312,246
0.6119,6.1878,246
0.5713,7.2691,246
1.8213,7.5656,248
1.2863,6.7894,248
1.8654,7.1042,248
1.2009999999999998,5.2297,249
0.9245,5.912000000000001,249
1.7544,5.3585,249
1.3895,3.8893,253
0.3362,4.3335,253
0.6356,3.3411,253
1.3649,5.5868,255
1.1349,5.3663,255
1.4142,5.4983,255
0.8165,4.7211,258
0.9059999999999999,4.2995,258
0.8227,4.7976,258
0.7745,5.15,259
1.002,6.4163,259
0.6272,5.1763,259
1.101,4.1205,261
0.6375,4.1833,261
0.9784,3.9575,261
1.7698,5.481,264
0.8929,5.5846,264
1.5671,5.8086,264
1.1094,5.2712,266
0.6081,5.3819,266
0.7189,5.3871,266
2.5945,7.9642,267
1.6186,6.1673,267
1.9196,7.7937,267
0.6811,5.2868,269
0.4876,4.7133,269
0.835,4.9651,269
1.6369,4.466,270
0.7881,4.4912,270
0.7669,4.1703,270
1.3488,4.4146,274
0.6505,4.1442,274
1.4117,4.8787,274
0.7404,4.1428,275
-0.221,3.3861,275
0.0948,3.5347,275
0.5204,4.3555,278
0.7905,4.481,278
1.0163,4.2266,278
0.8075,4.9585,279
1.0146,5.3111,279
1.2167,4.6808,279
1.4546,4.6081,281
1.2658,5.4203,281
1.1785,5.6068,281
1.2373,4.559,282
0.4602,4.8301,282
1.4268,3.7364,282
0.616,5.6985,285
0.4357,5.4212,285
0.6414,4.8726,285
1.0191,5.1477,287
1.028,4.319,287
1.3554,4.6204,287
1.2195,4.5534,288
0.4618,4.8495,288
0.682,5.3077,288
0.7272,4.5125,289
0.5481,3.3811,289
1.1208,3.8937,289
0.38299999999999995,4.9572,290
0.285,4.5497,290
0.3824,4.7157,290
0.7948,4.1646,292
0.878,4.3452,292
0.8237,4.4135,292
1.1431,5.4285,293
0.8056,5.7319,293
2.1653,6.0932,293
1.3513,4.7498,295
1.7816,4.2375,295
1.3969999999999998,5.2325,295
1.1812,4.6679,305
0.8747,4.4327,305
1.44,4.8587,305
1.0527,6.9311,310
1.9985,6.8196,310
1.2927,6.8342,310
1.3439,6.3042,312
1.24,7.2158,312
1.103,7.1331,312
0.7006,4.1037,316
0.9422,3.9419,316
0.8835,4.3453,316
1.256,3.1288,319
1.2041,3.5173,319
1.13,3.6969,319
0.6958,3.8476,320
0.6071,4.4733,320
1.547,3.7596,320
0.1075,4.4124,321
0.6783,3.9179,321
1.0936,3.5529,321
0.9157,5.1117,322
0.6168,6.4403,322
0.3619,5.0842,322
0.7286,6.6623,324
1.4873,7.0613,324
1.2848,5.4233,324
1.3902,4.2781,325
2.1101,3.4476,325
1.3079,4.0428,325
0.2172,3.7097,328
0.8043,4.9351,328
0.6970000000000001,4.5404,328
1.2605,3.9637,329
0.6113,3.5337,329
0.7077,4.4543,329
1.5327,4.5792,330
0.7471,4.4771,330
1.0195,4.4247,330
1.4497,3.7889999999999997,332
0.9275,5.0308,332
1.0222,4.1892,332
0.7233,4.705,333
0.6293,4.8081,333
0.56,6.3266,333
0.2357,3.2584,334
0.7388,3.7963,334
1.0349,4.1234,334
0.5826,4.6366,336
0.9984,4.4883,336
1.5704,5.1544,336
0.6289,4.1149,337
0.5264,4.1175,337
0.5315,4.5334,337
-0.4136,4.9056,338
1.1312,5.3171,338
1.805,4.9784,338
0.2947,4.2876,339
0.3391,4.3028,339
0.3132,4.8286,339
-0.2812,4.684,340
0.1651,6.0829,340
1.0372,6.2444,340
0.1632,7.0182,342
0.2001,6.3688,342
0.2961,7.0195,342
1.0397,4.5605,357
0.3883,5.3078,357
0.3566,5.9653,357
0.4666,5.3046,358
0.8836,5.1057,358
0.2837,4.1288,358
1.3914,4.6439,359
0.7399,5.1995,359
1.3771,4.4343,359
1.9164,4.2829,360
1.9069,3.9539999999999997,360
2.0233,4.0814,360
1.4765,5.7588,362
1.3622,6.4978,362
1.4448,5.8161,362
1.2833,7.7427,364
0.9259999999999999,7.7922,364
1.3137,8.6402,364
1.5015,3.1783,365
0.9639,3.4392,365
1.1138,2.8239,365
0.888,4.6392,366
0.9493,4.4041,366
0.7566,4.9107,366
0.9423,2.5481,369
1.001,2.9104,369
0.7929999999999999,3.2341,369
1.1072,5.5496,370
1.057,5.696000000000001,370
0.6534,5.025,370
1.547,4.8995,371
1.0617,5.1871,371
2.0356,5.132000000000001,371
